Month,Consumer Price Index (1982-84=1),Motor Gasoline Price ($/gallon) Nominal, Motor Gasoline Price ($/gallon) Real
01-01-1999,1.65,0.94,1.79
01-02-1999,1.65,0.92,1.75
01-03-1999,1.65,0.98,1.87
01-04-1999,1.66,1.13,2.14
01-05-1999,1.66,1.13,2.14
01-06-1999,1.66,1.11,2.11
01-07-1999,1.67,1.16,2.18
01-08-1999,1.67,1.22,2.29
01-09-1999,1.68,1.26,2.35
01-10-1999,1.68,1.24,2.32
01-11-1999,1.68,1.25,2.33
01-12-1999,1.69,1.27,2.37
01-01-2000,1.69,1.29,2.39
01-02-2000,1.7,1.38,2.54
01-03-2000,1.71,1.52,2.78
01-04-2000,1.71,1.46,2.69
01-05-2000,1.71,1.49,2.73
01-06-2000,1.72,1.63,2.98
01-07-2000,1.73,1.55,2.82
01-08-2000,1.73,1.46,2.66
01-09-2000,1.74,1.55,2.8
01-10-2000,1.74,1.53,2.77
01-11-2000,1.74,1.52,2.73
01-12-2000,1.75,1.44,2.59
01-01-2001,1.76,1.45,2.59
01-02-2001,1.76,1.45,2.59
01-03-2001,1.76,1.41,2.51
01-04-2001,1.76,1.55,2.76
01-05-2001,1.77,1.7,3.01
01-06-2001,1.78,1.62,2.86
01-07-2001,1.77,1.42,2.51
01-08-2001,1.77,1.42,2.51
01-09-2001,1.78,1.52,2.68
01-10-2001,1.78,1.32,2.33
01-11-2001,1.78,1.17,2.07
01-12-2001,1.77,1.09,1.92
01-01-2002,1.78,1.11,1.96
01-02-2002,1.78,1.11,1.96
01-03-2002,1.79,1.25,2.2
01-04-2002,1.79,1.4,2.45
01-05-2002,1.8,1.39,2.43
01-06-2002,1.8,1.38,2.42
01-07-2002,1.8,1.4,2.44
01-08-2002,1.81,1.4,2.43
01-09-2002,1.81,1.4,2.43
01-10-2002,1.81,1.45,2.5
01-11-2002,1.82,1.42,2.45
01-12-2002,1.82,1.39,2.39
01-01-2003,1.83,1.46,2.51
01-02-2003,1.84,1.61,2.76
01-03-2003,1.84,1.69,2.89
01-04-2003,1.83,1.59,2.72
01-05-2003,1.83,1.5,2.57
01-06-2003,1.83,1.49,2.56
01-07-2003,1.84,1.51,2.59
01-08-2003,1.85,1.62,2.76
01-09-2003,1.85,1.68,2.85
01-10-2003,1.85,1.56,2.66
01-11-2003,1.85,1.51,2.57
01-12-2003,1.86,1.48,2.5
01-01-2004,1.86,1.57,2.65
01-02-2004,1.87,1.65,2.77
01-03-2004,1.87,1.74,2.91
01-04-2004,1.87,1.8,3.01
01-05-2004,1.88,1.98,3.31
01-06-2004,1.89,1.97,3.27
01-07-2004,1.89,1.91,3.17
01-08-2004,1.89,1.88,3.12
01-09-2004,1.9,1.87,3.09
01-10-2004,1.91,2,3.29
01-11-2004,1.92,1.98,3.24
01-12-2004,1.92,1.84,3.02
01-01-2005,1.92,1.83,3
01-02-2005,1.92,1.91,3.12
01-03-2005,1.93,2.08,3.38
01-04-2005,1.94,2.24,3.64
01-05-2005,1.94,2.16,3.51
01-06-2005,1.94,2.16,3.49
01-07-2005,1.95,2.29,3.69
01-08-2005,1.96,2.49,3.98
01-09-2005,1.99,2.9,4.59
01-10-2005,1.99,2.72,4.28
01-11-2005,1.98,2.26,3.58
01-12-2005,1.98,2.19,3.46
01-01-2006,1.99,2.32,3.65
01-02-2006,1.99,2.28,3.59
01-03-2006,2,2.42,3.81
01-04-2006,2.01,2.74,4.29
01-05-2006,2.01,2.91,4.53
01-06-2006,2.02,2.88,4.49
01-07-2006,2.03,2.98,4.61
01-08-2006,2.04,2.95,4.55
01-09-2006,2.03,2.56,3.96
01-10-2006,2.02,2.24,3.49
01-11-2006,2.02,2.23,3.47
01-12-2006,2.03,2.31,3.58
01-01-2007,2.03,2.24,3.46
01-02-2007,2.04,2.28,3.5
01-03-2007,2.05,2.56,3.92
01-04-2007,2.06,2.85,4.34
01-05-2007,2.07,3.15,4.78
01-06-2007,2.07,3.06,4.63
01-07-2007,2.08,2.96,4.48
01-08-2007,2.08,2.79,4.21
01-09-2007,2.09,2.8,4.22
01-10-2007,2.09,2.8,4.21
01-11-2007,2.11,3.08,4.59
01-12-2007,2.11,3.02,4.48
01-01-2008,2.12,3.04,4.5
01-02-2008,2.13,3.03,4.47
01-03-2008,2.13,3.24,4.77
01-04-2008,2.14,3.46,5.08
01-05-2008,2.15,3.77,5.49
01-06-2008,2.18,4.05,5.85
01-07-2008,2.19,4.06,5.82
01-08-2008,2.19,3.78,5.43
01-09-2008,2.19,3.7,5.31
01-10-2008,2.17,3.05,4.42
01-11-2008,2.13,2.15,3.16
01-12-2008,2.11,1.69,2.51
01-01-2009,2.12,1.79,2.65
01-02-2009,2.13,1.92,2.84
01-03-2009,2.13,1.96,2.89
01-04-2009,2.13,2.05,3.02
01-05-2009,2.13,2.27,3.34
01-06-2009,2.15,2.63,3.85
01-07-2009,2.15,2.53,3.69
01-08-2009,2.15,2.62,3.81
01-09-2009,2.16,2.55,3.72
01-10-2009,2.17,2.55,3.7
01-11-2009,2.17,2.65,3.83
01-12-2009,2.17,2.61,3.77
01-01-2010,2.18,2.72,3.92
01-02-2010,2.17,2.64,3.82
01-03-2010,2.17,2.77,4
01-04-2010,2.17,2.85,4.11
01-05-2010,2.17,2.84,4.1
01-06-2010,2.17,2.73,3.95
01-07-2010,2.18,2.73,3.94
01-08-2010,2.18,2.73,3.93
01-09-2010,2.18,2.71,3.89
01-10-2010,2.19,2.8,4.01
01-11-2010,2.2,2.86,4.09
01-12-2010,2.21,2.99,4.26
01-01-2011,2.21,3.09,4.39
01-02-2011,2.22,3.21,4.54
01-03-2011,2.23,3.56,5.01
01-04-2011,2.24,3.8,5.32
01-05-2011,2.25,3.91,5.46
01-06-2011,2.25,3.68,5.14
01-07-2011,2.25,3.65,5.09
01-08-2011,2.26,3.64,5.05
01-09-2011,2.27,3.61,5
01-10-2011,2.27,3.45,4.77
01-11-2011,2.27,3.38,4.68
01-12-2011,2.27,3.27,4.51
01-01-2012,2.28,3.38,4.66
01-02-2012,2.28,3.58,4.92
01-03-2012,2.29,3.85,5.29
01-04-2012,2.29,3.9,5.34
01-05-2012,2.29,3.73,5.12
01-06-2012,2.29,3.54,4.86
01-07-2012,2.29,3.44,4.72
01-08-2012,2.3,3.72,5.08
01-09-2012,2.31,3.85,5.23
01-10-2012,2.32,3.75,5.08
01-11-2012,2.31,3.45,4.69
01-12-2012,2.31,3.31,4.5
01-01-2013,2.32,3.32,4.5
01-02-2013,2.33,3.67,4.95
01-03-2013,2.32,3.71,5.02
01-04-2013,2.32,3.57,4.84
01-05-2013,2.32,3.61,4.89
01-06-2013,2.32,3.63,4.9
01-07-2013,2.33,3.59,4.84
01-08-2013,2.34,3.57,4.81
01-09-2013,2.34,3.53,4.75
01-10-2013,2.34,3.34,4.49
01-11-2013,2.34,3.24,4.35
01-12-2013,2.35,3.28,4.38
01-01-2014,2.35,3.31,4.42
01-02-2014,2.36,3.36,4.47
01-03-2014,2.36,3.53,4.7
01-04-2014,2.37,3.66,4.86
01-05-2014,2.37,3.67,4.87
01-06-2014,2.37,3.69,4.89
01-07-2014,2.38,3.61,4.77
01-08-2014,2.38,3.49,4.61
01-09-2014,2.38,3.41,4.5
01-10-2014,2.37,3.17,4.19
01-11-2014,2.37,2.91,3.86
01-12-2014,2.36,2.54,3.38
01-01-2015,2.35,2.12,2.83
01-02-2015,2.35,2.22,2.96
01-03-2015,2.36,2.46,3.28
01-04-2015,2.36,2.47,3.28
01-05-2015,2.37,2.72,3.6
01-06-2015,2.38,2.8,3.7
01-07-2015,2.38,2.79,3.69
01-08-2015,2.38,2.64,3.48
01-09-2015,2.38,2.37,3.13
01-10-2015,2.38,2.29,3.02
01-11-2015,2.38,2.16,2.85
01-12-2015,2.38,2.04,2.69
01-01-2016,2.38,1.95,2.57
01-02-2016,2.37,1.76,2.33
01-03-2016,2.38,1.97,2.6
01-04-2016,2.39,2.11,2.78
01-05-2016,2.4,2.27,2.97
01-06-2016,2.4,2.37,3.09
01-07-2016,2.4,2.24,2.93
01-08-2016,2.41,2.18,2.84
01-09-2016,2.41,2.22,2.89
01-10-2016,2.42,2.25,2.92
01-11-2016,2.42,2.18,2.83
01-12-2016,2.43,2.25,2.92
01-01-2017,2.44,2.35,3.03
01-02-2017,2.44,2.3,2.96
01-03-2017,2.44,2.33,2.99
01-04-2017,2.44,2.42,3.11
01-05-2017,2.44,2.39,3.08
01-06-2017,2.44,2.35,3.02
01-07-2017,2.44,2.3,2.96
01-08-2017,2.45,2.38,3.05
01-09-2017,2.46,2.65,3.37
01-10-2017,2.47,2.51,3.19
01-11-2017,2.47,2.56,3.26
01-12-2017,2.48,2.48,3.14
01-01-2018,2.49,2.55,3.22
01-02-2018,2.5,2.59,3.26
01-03-2018,2.5,2.59,3.26
01-04-2018,2.5,2.76,3.46
01-05-2018,2.51,2.9,3.63
01-06-2018,2.51,2.89,3.62
01-07-2018,2.51,2.85,3.56
01-08-2018,2.52,2.84,3.54
01-09-2018,2.52,2.84,3.53
01-10-2018,2.53,2.86,3.55
01-11-2018,2.53,2.65,3.29
01-12-2018,2.53,2.37,2.94
01-01-2019,2.53,2.25,2.79
01-02-2019,2.53,2.31,2.86
01-03-2019,2.54,2.52,3.11
01-04-2019,2.55,2.8,3.44
01-05-2019,2.55,2.86,3.52
01-06-2019,2.55,2.72,3.34
01-07-2019,2.56,2.74,3.36
01-08-2019,2.56,2.62,3.21
01-09-2019,2.56,2.59,3.17
01-10-2019,2.57,2.63,3.21
01-11-2019,2.58,2.6,3.16
01-12-2019,2.59,2.56,3.1
01-01-2020,2.59,2.55,3.09
01-02-2020,2.59,2.44,2.96
01-03-2020,2.58,2.23,2.72
01-04-2020,2.56,1.84,2.26
01-05-2020,2.56,1.87,2.29
01-06-2020,2.57,2.08,2.54
01-07-2020,2.58,2.18,2.65
01-08-2020,2.59,2.18,2.64
01-09-2020,2.6,2.18,2.64
01-10-2020,2.6,2.16,2.6
01-11-2020,2.61,2.11,2.54
01-12-2020,2.62,2.2,2.63
01-01-2021,2.63,2.33,2.79
01-02-2021,2.64,2.5,2.98
01-03-2021,2.65,2.81,3.33
01-04-2021,2.67,2.86,3.36
01-05-2021,2.69,2.99,3.49
01-06-2021,2.71,3.06,3.55
01-07-2021,2.72,3.14,3.62
01-08-2021,2.73,3.16,3.63
01-09-2021,2.74,3.18,3.64
01-10-2021,2.76,3.29,3.74
01-11-2021,2.79,3.39,3.82
01-12-2021,2.81,3.31,3.7
01-01-2022,2.82,3.31,3.69
01-02-2022,2.85,3.52,3.88
01-03-2022,2.88,4.22,4.61
01-04-2022,2.89,4.11,4.47
01-05-2022,2.91,4.44,4.79
01-06-2022,2.95,4.93,5.25
01-07-2022,2.95,4.56,4.85
01-08-2022,2.95,3.98,4.23
01-09-2022,2.96,3.7,3.92
01-10-2022,2.98,3.82,4.02
01-11-2022,2.99,3.69,3.87
01-12-2022,2.99,3.21,3.37
01-01-2023,3,3.34,3.49
01-02-2023,3.02,3.39,3.53
01-03-2023,3.02,3.42,3.56
01-04-2023,3.03,3.6,3.73
01-05-2023,3.03,3.55,3.68
01-06-2023,3.04,3.57,3.69
01-07-2023,3.05,3.6,3.71
01-08-2023,3.06,3.84,3.94
01-09-2023,3.07,3.84,3.92
01-10-2023,3.08,3.61,3.69
01-11-2023,3.08,3.32,3.38
01-12-2023,3.09,3.13,3.19
01-01-2024,3.1,3.08,3.12
01-02-2024,3.11,3.21,3.24
01-03-2024,3.12,3.43,3.44
01-04-2024,3.13,3.61,3.62
01-05-2024,3.13,3.6,3.61
01-06-2024,3.13,3.45,3.47
01-07-2024,3.14,3.48,3.49
01-08-2024,3.14,3.49,3.49
